ABRERFOLG,'1' Settlement Successful,,,,
ABRLI,Internal delivery schedule number,,,,
ABROD_INC,Oversea paid tax,,,,
ABRSP,Indicator: Personnel number locked for payroll,,,,
ABRVW,Usage Indicator,,,,
ABSBT,Hedged amount,,,,
ABSDY,Absence days,,,,
ABSENCE_DATA_HEADER,Header for Table Absence Data,,,,
ABSFREQUENCY,Absolute Occurence,,,,
ABSOLUTE_NAME,Absolute Name,,,,
ABSSC,Payment guarantee procedure,,,,
ABSTA,Rejection stat.,,,,
ABSTAG,Absences not taken into account,,,,
ABSTAMP,ABAP Time Stamp,,,,
ABSTK,Rejection stat.,,,,
ABSTRACT,Flag: Class is abstract?,,,,
ABSTRACT,Flag: Method is abstract?,,,,
ABSTRACT,"Initial = Design Component, 'X' = Not in Hierarchy",,,,
ABSTR_ROLE,Name of Abstract Role,,,,
ABSTYPENAME,Absolute Type Name at Runtime,,,,
ABSZYK,Allowable Budget Billing Cycles,,,,
ABS_CHARGE_AM,Absolute Changed Amount Expenses/Charge,,,,
ABTEI,Department,,,,
ABTEILUNG,Department,,,,
ABTNR,Department number,,,,
ABTNR_TXT_KNVK,Contact person department,,,,
ABTYPE,ABAP Data Type (nametab interface coded),,,,
ABWH,Absence Type,,,,
ABWH_ART,Absence type,,,,
ABWH_TEXT,Description of Absence Type,,,,
ABZNR,Absence assignment,,,,
ABZNR,Pointer to Absences,,,,
ABZUG,Deduction Indicator,,,,
AB_CNT,Selected Items,,,,
ACADEMIC_SESSION,Concatenation of Year and Period,,,,
ACADEMIC_TERM,Academic Term,,,,
ACAQU,Academic Qualification,,,,
ACBALNC,Account Ballance,,,,
ACBALNCD,Account Ballance description,,,,
ACCADDIR,Municipality additional tax advance pay to IRPEF,,,,
ACCADDIRC,Municipality additional tax advance pay to IRPEF - Spouse,,,,
ACCADDSO,Suspended municipality additional tax advance pay to IRPEF,,,,
ACCADDSOC,Susp. municipality add. tax advance pay to IRPEF - Spouse,,,,
ACCANERAP,Advance pays and advances paid in previous years,,,,
ACCBFT,Accomodation benefit,,,,
ACCBKACC,Account ID,,,,
ACCCEDSECS,Suspended flat rate tax advance pays,,,,
ACCCEDSESO,Suspended flat rate tax advance pays - Spouse,,,,
ACCDB_NAME,Account and vendor~s/customer~s name,,,,
ACCDS,Leave days,,,,
ACCDT,Accident Date,,,,
ACCEL_PRD_MON_C,See below,,,,
ACCEP,ACC earner premium,,,,
ACCEP,Accident Explaination,,,,
ACCEPTED,Message Response Accepted,,,,
ACCEPTEDTIME,Accepted Time,,,,
ACCEPTED_TIME,Placeholder for future use.,,,,
ACCEPTFKT,Accept function,,,,
ACCEPTREJECT_DT,Acceptance/Rejection Date,,,,
ACCEPT_PREV_BASES,Bases from previous month to be applied,,,,
ACCESS,Flag: 'X'= Information available,,,,
ACCESSDATE,File last access date,,,,
ACCESSED_SCHEMA,Accessed schema,,,,
ACCESSED_TABLE,Accessed table,,,,
ACCESSES,Natural number,,,,
ACCESSES,Total Accesses,,,,
ACCESSIBILITY_DESCR,Accessibility Description,,,,
ACCESSIBLE,Function accessibility ('true' or 'false'),,,,
ACCESSLEVEL,agreement between host and airline,,,,
ACCESSMODE,Access Rights,,,,
ACCESSTIME,File last access time,,,,
ACCESS_COUNTER,Number of Accesses to Course Content,,,,
ACCESS_LIMIT,Number of Allowed Accesses,,,,
ACCESS_MODE,DBOSC-DP: Aggregated ='A'; Plain = 'P',,,,
ACCESS_PATH,Access Path to Reference Target,,,,
ACCESS_PATH,Access path,,,,
ACCESS_PATH_IN_XML,Access Path to Reference Target exclusive PNAME/ RDC-PNAME,,,,
ACCESS_POINT,Access Address,,,,
ACCESS_POINT,Web Service Access Address,,,,
ACCESS_PREDICATES,Predicates used to locate rows in an access structure,,,,
ACCESS_SEQ,Access sequence - Access number,,,,
ACCESS_TYPE,"             					GDS specific information. Access type to ",,,,
ACCESS_URL,Access URL,,,,
ACCGALLOCMEM,Accumulated Gross Allocated Memory,,,,
ACCGCPUTIME,Accumulated Gross CPU Time,,,,
ACCGD,Work Injury Time,,,,
ACCGTIME,Accumulated Gross Response Time,,,,
ACCGTRANSFER,Accumulated Gross Transferred Data,,,,
ACCHOUSBK,House Bank,,,,
ACCID,"Access Authorization, Blank",,,,
ACCID,"Access Authorization, Blank (=0)",,,,
ACCINFKEY,Inflation Key,,,,
ACCIRSOSP,Suspended IRPEF advance pays,,,,
ACCIRSOSPC,Suspended IRPEF advance pays - Spouse,,,,
ACCITY,Account Address - City,,,,
ACCKIND,Refer to AC_* Attributes in CL_TPDA_CONTROL,,,,
ACCLB,Relevant for Closing Balance,,,,
ACCLOAN_AM,Offset of Policy Loan,,,,
ACCNALLOCMEM,Accumulated Net Allocated Memory,,,,
ACCNAM,Chief accountant name,,,,
ACCNAME,Account for Learning Service Provider (Name),,,,
ACCNAME,Account with External LMS,,,,
ACCNCPUTIME,Accumulated Net CPU Time,,,,
ACCNO,Participant Account Number,,,,
ACCNT,Account Number (GUID),,,,
ACCNTIME,Accumulated Net Response Time,,,,
ACCNTNO,Account Number (EFT),,,,
ACCNTRANSFER,Accumulated Net Transferred Data,,,,
ACCNT_ASGN,Account assignment group for this customer,,,,
ACCNT_NO,Account number of our bank,,,,
ACCNT_NO,Account number of payee,,,,
ACCNT_REF,iBS CYT: DM Contract ID (GUID) for Alt. Clearing Account,,,,
ACCNT_TYPE,"1=ordinary, 2=current,  9=others",,,,
ACCNT_TYPE,"1=ordinary, 2=current, 4=saving, 9=others   / payee",,,,
ACCOM,Company accomodation,,,,
ACCOM,company accomodation,,,,
ACCOR_CALLER_CHECKBOX,Collect DB2 Utility Recommendation via DB13 instead of RZ20,,,,
ACCOUNT,Account,,,,
ACCOUNTFRO,Account from,,,,
ACCOUNTING_DT,Effective Date,,,,
ACCOUNTKEY,Account key,,,,
ACCOUNTRY,Account Address - Country,,,,
ACCOUNTRYC,Account Address - Country Code,,,,
ACCOUNTTO,Account to,,,,
ACCOUNT_DV,Bank Account Number DV,,,,
ACCOUNT_FILL,"X=fill up, not otherwise",,,,
ACCOUNT_FILLCHAR,"if fill, then fill character here",,,,
ACCOUNT_HIER,Account Hierarchy,,,,
ACCOUNT_HOLDER,Depositor,,,,
ACCOUNT_HOLDER_NAME,Bank account holder's name,,,,
ACCOUNT_ID,Account with Learning Service Provider (Name),,,,
ACCOUNT_KE,Account key - accruals / provisions,,,,
ACCOUNT_KEY,Account Key,,,,
ACCOUNT_LEFT,"X=left-justified, otherwise right",,,,
ACCOUNT_NAME,Account holder name,,,,
ACCOUNT_NEW,New account,,,,
ACCOUNT_NUM,Account Groups Number,,,,
ACCOUNT_NUMBER,EPM: Account Number,,,,
ACCOUNT_OLD,Old account,,,,
ACCOUNT_PASSWORD,Account with Learning Service Provider (Password),,,,
ACCOUNT_SET,Quantity of Accounts,,,,
ACCP,Posting period YYYYMM,,,,
ACCPAYDISCB_AM,Centralized Collection Discount,,,,
ACCPWD,Account for Learning Service Provider (Password),,,,
ACCPWD,Password for Account,,,,
ACCP_FLD,CW,,,,
ACCRECEIVCLR_AM,Share of Other Receivables,,,,
ACCRUALS,Condition is Relevant for Accrual  (e.g. Freight),,,,
ACCRUE_AT,specifies how cost is accrued against the resource.,,,,
ACCRULE,Accounting Principle (AP),,,,
ACCR_YEAR,Accrual Fiscal year,,,,
ACCS,ents. leave affil. no.,,,,
ACCSRTKEY,Sort Key,,,,
ACCS_NON,"ents. leave affil., no",,,,
ACCS_OUI,"ents. leave affil., yes",,,,
ACCTASSCAT,Account assignment category,,,,
ACCTGRP_PROD,Account Assignment Group: product,,,,
ACCTM,Trip Settlement Time,,,,
ACCTOLGRP,Tolerance Group,,,,
ACCTY,Account Type,,,,
ACCT_ASSGT,Account assignment group for this material,,,,
ACCUMRES_TT,Cumulative Event,,,,
ACCUMULAT,Counter type,,,,
ACCUMULATNR_TT,Accumulation Number,,,,
ACCVAR_CD,Settlement Variant,,,,
ACCVAR_TT,Description of Settlement Variant,,,,
ACC_ADD,Not in Use,,,,
ACC_BUS_TR_CAT,Business Transaction Type,,,,
ACC_CAT,Acc.Assignment Type in Enterprise Buyer Professional Edition,,,,
ACC_CAT,Cost Center,,,,
ACC_CNT,Access Counter,,,,
ACC_CU_BLK,acc_curs_blk: Acc. Block Remote Cursor Requests,,,,
ACC_DATA,XPath or Name of Context Object,,,,
ACC_DOC,Not in Use,,,,
ACC_EFFICIENCY,rows read / rows processed,,,,
ACC_INFO,Settlement Data,,,,
ACC_INTERVAL_UNIT,Unit of Global Times History Collection Interval,,,,
ACC_MODE,File access mask,,,,
ACC_MULTILINE,"'X' - Multiple Line, ' ' - Single Line",,,,
ACC_NO,Number of Account Assignment in Purchasing Document (EBp),,,,
ACC_NR,Yellow account number of the payee(Schuldners),,,,
ACC_NUMBER,Account Group,,,,
ACC_OBJECT,Account Assignment Element: IO or WBS (such as PS Proj.Def.),,,,
ACC_OBJECT_T,Account Assignment Element: Description,,,,
ACC_PERIOD,Accrual period for order-related billing docs.to be accrued,,,,
ACC_PER_FROM,Accounting period from,,,,
ACC_PER_TO,Accounting period to,,,,
ACC_PNOD,Not in Use,,,,
ACC_PRINCIPLE,Accounting Principle,,,,
ACC_PRINCTXT,Accounting Principle,,,,
ACC_SPEC_ID,Access Specifier ID,,,,
ACC_STR,Generic Account Assignment,,,,
ACC_TIME_EVAL,Global Times Interval in minutes (n * ZPARM STATIME(,,,,
ACC_TYPE,"'XP' - Xpath, 'CO' - Context Object",,,,
ACC_WITHOUT_LOSS,Rate of accidents with and without loss,,,,
ACC_WITH_LOSS,Rate of accidents with loss,,,,
ACC_XSDTYPE,"XSD-Type (Target Type of Expression), if Available",,,,
ACDDG,Educational Level,,,,
ACDDG,Employee's Academic Qualification,,,,
ACDDT,Academic Degree,,,,
ACDTX,Education level,,,,
ACEXT,External Account Number,,,,
ACHIEVEMENT,Current Status in Percentage,,,,
ACHOUSE,Account Address - House number,,,,
ACHVM,Central archiving marker for master record,,,,
ACH_ADJ_AREA_COD,ACH adjustments area code,,,,
ACH_ADJ_CONT_NAM,ACH adjustments contact name,,,,
ACH_ADJ_EXT,ACH adjustments extension,,,,
ACH_ADJ_PHONE,ACH adjustments phone,,,,
ACH_AREA_CODE,ACH contact area code,,,,
ACH_CONT_NAME,ACH contact name,,,,
ACH_EMAIL,ACH e-mail (EFT),,,,
ACH_EXT,ACH contact extension,,,,
ACH_FAX,ACH Fax (EFT),,,,
ACH_FLAG,ACH flag,,,,
ACH_MEMBER_ID,ACH membership indicator,,,,
ACH_MICR_ROUT_NO,ACH MICR routing number,,,,
ACH_MICR_STATUS,ACH MICR status,,,,
ACH_NUS_PHONE,ACH Non-US Phone (EFT),,,,
ACH_PAY_THROUGH,ACH payable through,,,,
ACH_PHONE_NO,ACH contact phone number,,,,
ACH_PROVIDER,ACH provider,,,,
ACH_RETURN_AREA,ACH returns area code,,,,
ACH_RETURN_EXT,ACH returns extension,,,,
ACH_RETURN_NAME,ACH returns contact name,,,,
ACH_RETURN_PHONE,ACH returns phone,,,,
ACH_US_PHONE,ACH US Phone (EFT),,,,
ACIC,City type,,,,
ACIN,City name,,,,
ACITY,City,,,,
ACKNG,Ben. recognition factor,,,,
ACKNG,Coef. ackng.,,,,
ACKNOWL_NO,Order Acknowledgment Number,,,,
ACKNOWL_NO,Order acknowledgment number,,,,
ACKNOWL_NO,Order confirmation number,,,,
ACKNOWL_NO,Updated information in related user data field,,,,
ACKN_REQD,Order Acknowledgment Requirement,,,,
ACKN_REQD,Order acknowledgement requirement,,,,
ACKN_REQD,Order acknowledgment requirement,,,,
ACKN_REQD,Updated information in related user data field,,,,
ACK_DATE,Acknowledgement Date,,,,
ACK_REQUIRED,Indicator: Acknowledgement Required,,,,
ACK_STATE,XI: Acknowledgment Status,,,,
ACLA_CALLKEY,Parameter Structure for Archiving Class Call,,,,
ACMERAKEZ,Central Account number,,,,
ACNAME,Account name,,,,
ACNBR,Case number,,,,
ACNUMBER,Account number,,,,
ACNUM_INT,Internal Account Number,,,,
ACORG,Academic Organization,,,,
ACOSEKM,Account Osek,,,,
ACOUT,Is for outflow,,,,
ACPCODE,Account Address - Postal Code,,,,
ACPHONE,Account Phone,,,,
ACPLAN,Access Plan Number,,,,
ACPL_ID,Access Plan ID / Precalculation ID,,,,
ACPOS,Activity position within a Category,,,,
ACQDATE,Acquisition date,,,,
ACQUIRED_LOCK_COUNT,Acquired Lock Count,,,,
ACQUIRED_METALOCK_INDEX,Acquired Metalock Index,,,,
ACQUIRING,Acquiring ?,,,,
ACQUISITION_DT,Date Purchased,,,,
ACQUISTP_CD,FS-PM: Acquisition Type,,,,
ACQUISTP_CD,Receipt Type,,,,
ACQUISTP_TT,Receipt Type,,,,
ACQUISVAL,Acquisition Value,,,,
ACRDT,Creation date,,,,
ACRMETHOD,Accrual/Deferral Method,,,,
ACRN_ID,Funding ID,,,,
ACRTYPE,Accrual Type,,,,
ACSTREET,Account Address - Street,,,,
ACTAB,IS-H: Active Title Element,,,,
ACTCA,Activity category,,,,
ACTCMBDESC_TEXT,Status Combination Text,,,,
ACTCREDID,ID: Item with active credit function / relevant for credit,,,,
ACTDATE,Activation date,,,,
ACTDATE,Date of a disconnection activity,,,,
ACTDOCTYPE,Type of Document for Action,,,,
ACTFLAG,Activation flag,,,,
ACTGRANTCH_AM,Total of Subsidized Premiums,,,,
ACTGRANTSH_AM,Total of Subsidized Premiums,,,,
ACTGRP,Activity Group,,,,
ACTGUARANT_AM,Guarantee Total,,,,
ACTID,Activity Number,,,,
ACTINACTST_CD,Active/Inactive Status of Contract,,,,
ACTINACTST_CD,Active/Inactive Status of FS-PM Coverage,,,,
ACTINACTST_TT,Description of Status of Contract,,,,
ACTIO,Action in R/3,,,,
ACTION,Action,,,,
ACTIONCODE,Specify the action response 45 Avail. resp. 49 Schedule resp,,,,
ACTIONDOCUMENTTYPE,Type of Document for Action,,,,
ACTIONDTL,Icon Including Tooltip,,,,
ACTIONICON,Icon Including Tooltip,,,,
ACTIONTYPE,Workflow Activity Type,,,,
ACTION_CODE,Action Code of Change,,,,
ACTION_CODE,Action code,,,,
ACTION_DATE,Protocol Date,,,,
ACTION_DESCRIPTION,Description of Corrective and Preventive Action,,,,
ACTION_EVENT,Action event,,,,
ACTION_EVENT_ID,Action event ID,,,,
ACTION_EXTERNAL_ID,Key that Flags a Corrective/Preventive Action,,,,
ACTION_GUID,GUID for Unique Identification of an Action,,,,
ACTION_GUID,Unique Object Identifier in Audit Management,,,,
ACTION_ICON,Icon for Staffing Assignment Action,,,,
ACTION_ID,DBAcockpit Action IDas Repair Tool,,,,
ACTION_ID_TEXT,Action ID text,,,,
ACTION_ID_TEXT_TT,Tootip action ID text,,,,
ACTION_LOAD,Action for Initial Load Object,,,,
ACTION_LTEXT_IND,Flag That Long Text Exists for Action,,,,
ACTION_LTEXT_IND,Flag: Long Text Exists for Action,,,,
ACTION_LTEXT_IND,Long Text Exists for Action,,,,
ACTION_NAME,Name of an action to be measured,,,,
ACTION_ON_TRIP,"         									Search trip plans for which a specific ac",,,,
ACTION_ON_TRIP,"         							Search trip plans for which a specific acti",,,,
ACTION_REPL,Action for Replication Object,,,,
ACTION_REQUIRED,Action required,,,,
ACTION_STATUS,Tool tip text for field IS_INACTIV,,,,
ACTION_TEXT,Description for Staffing Assignment Action,,,,
ACTION_TIME,Action Time,,,,
ACTION_TIME,Protocol Time,,,,
ACTION_TOOLTIP,Action tool tip,,,,
ACTION_TXT,Description of Action in History of Batch,,,,
ACTION_TYPE,Action,,,,
ACTION_TYPE,Action Type,,,,
ACTION_URL,Action URL,,,,
ACTIV,Transaction,,,,
ACTIVATE,Object should be activated,,,,
ACTIVATEDRELEASE,Last version activated,,,,
ACTIVATE_DATE,Activation Date,,,,
ACTIVATE_DBSCHEMA,dbschema create entry,,,,
ACTIVATE_TIME,Activation time,,,,
ACTIVATION,Activation ID of Application,,,,
ACTIVE,Active,,,,
ACTIVEALLOCS,Memory Allocations Currently Used,,,,
ACTIVEAREA_VL,Usable Space,,,,
ACTIVESESS,Active database server sessions,,,,
ACTIVESORT,Sorts currently active,,,,
ACTIVETAB,Active Tabs,,,,
ACTIVEX,An ActiveX should be used,,,,
ACTIVE_CONFIG,Description of the frame around the product configuration,,,,
ACTIVE_DIRECTORY_GUID,The Active Directory GUID for the resource.,,,,
ACTIVE_ENTRY,X,,,,
ACTIVE_FILTER,Active Filters,,,,
ACTIVE_FLAG,Active Rule Flag,,,,
ACTIVE_FLAG_DESC,Description,,,,
ACTIVE_HASH_JOIN,Active Hash Joins,,,,
ACTIVE_MODEL_VIEW,Active Model View Name,,,,
ACTIVE_PORTFOLIO,Active Portfolio Name,,,,
ACTIVE_REQUESTS,active request count,,,,
ACTIVE_REQUESTS,history=unload count,,,,
ACTIVE_SESSIONS,Active Session divided by the intervall seconds,,,,
ACTIVE_SESSIONS,Number of active sessions,,,,
ACTIVE_SITE_CODE,"       					Community to which the traveller belongs and ",,,,
ACTIVE_STATEMENT_COUNT,Active Statement Count,,,,
ACTIVE_STATUS,Active status,,,,
ACTIVE_TAB,Active tab strip,,,,
ACTIVE_VERSION,Active Version of Original,,,,
ACTIVE_VERSION,Active Version of the Original,,,,
ACTIVE_VERSION,Active version of the original,,,,
ACTIVE_VERSIONS,List of all active versions,,,,
ACTIVE_VERSION_R,List of all active versions in Receiver,,,,
ACTIVE_VERSION_S,List of all active versions in Sender,,,,
ACTIVFL,Active and Revised Versions Agree,,,,
ACTIVITIESSTATUS,Activity Status,,,,
ACTIVITY,FI-SL business activity,,,,
ACTIVITY_ACHIEVE,Percentage Course Progress for Pass,,,,
ACTIVITY_COSTS,Amount for costs in process,,,,
ACTIVITY_COUNT,Activity Counter,,,,
ACTIVITY_FILTER,Activity filter based on status,,,,
ACTIVITY_ID,Activities - Identifier,,,,
ACTIVITY_SCORE,Test Result in Percentage,,,,
ACTIVITY_TEXT,Long Text (Title),,,,
ACTIVITY_TIME,Time spent so far completing this activity (sec.),,,,
ACTIVITY_TYPE,Description of maintenance activity type,,,,
ACTIVITY_VIEWED,Course Progress in Percentage,,,,
ACTIV_PROF,Profile Flagged for Activation,,,,
ACTIV_SORT,Active Sorts,,,,
ACTIV_TXT,Activity text,,,,
ACTLED,Success Indicator,,,,
ACTLEN,Current String Length,,,,
ACTMSGMAXS,"Alert: MSG-Cont.: Anzahl ""h?ch",,,,
ACTMSGMODE,Alert: MessageContainer Aktuel,,,,
ACTNAME,Activity name for front office steps,,,,
ACTNO,Selected Action,,,,
ACTNTCMP,Compares Active ICNV Shadow Nametab with Active Nametab,,,,
ACTNUMBER,Activity Number,,,,
ACTNUMBER,ICL_ACTIVITYNO (NUMC(4)),,,,
ACTN_MSG_LOG_POS,Position in Action Message Log,,,,
ACTOWNPREM_AM,Premium Total,,,,
ACTPA,Account Assignment: Activity Type Active,,,,
ACTSC,Ordinary_730-4 SepTaxAdvPayToBeDeducted SpouseAmount,,,,
ACTSD,Ordinary_730-4 SepTaxAdvPayToBeDeducted DeclarantAmount,,,,
ACTSE,Ordinary_730-4 SepTaxAdvPayToBeDeducted TotalAmount,,,,
ACTSTAT,Activation Status of Entry,,,,
ACTSTAT_TOOLTIP,Tool tip text for field IS_INACTIV,,,,
ACTTIME,Time of a disconnection activity,,,,
ACTTYP,Action Types,,,,
ACTTYPE,Activity Type,,,,
ACTTYPE,Log indicator,,,,
ACTTYPE,Service type,,,,
ACTTYPE,Updated information in related user data field,,,,
ACTTYP_TXT,Description for Action Type,,,,
ACTUAL,Update indicator for payroll reporting status,,,,
ACTUALCOUNT,Actual number of extent changes,,,,
ACTUALCUSTOMERMRTYPE,Meter reading type,,,,
ACTUALDAY,Date,,,,
ACTUALDAY,SQL Server analysis date,,,,
ACTUALFINISHDATE,Actual Finish,,,,
ACTUALMRDATE,Actual meter reading date,,,,
ACTUALMRTIME,Actual meter reading time,,,,
ACTUALSEV,"Alert: severity (alerts, monit",,,,
ACTUALSTARTDATE,Actual Start,,,,
ACTUALS_IN_SYNC,Whether all actual work has been synchronized with  project,,,,
ACTUALS_IN_SYNC,Whether all actual work has been synchronized with project,,,,
ACTUALTIME,SQL Server analysis time,,,,
ACTUALVAL,"Alert: alert value (1 = green,",,,,
ACTUAL_COMPONENT,Actual component,,,,
ACTUAL_COST,The actual cost of the task.,,,,
ACTUAL_COST_YTD,Actual Cost Year to Day,,,,
ACTUAL_DATE,Actual Completion Date,,,,
ACTUAL_DECISION_DATE,Actual Decision Date,,,,
ACTUAL_DURATION,The actual duration of the task.,,,,
ACTUAL_DUR_UNIT,Unit,,,,
ACTUAL_END_DATE,Actual finish: Execution (date),,,,
ACTUAL_EXTENSION,Current Number of Extensions to an Auction /Auction Item,,,,
ACTUAL_FINISH,Actual Finish Date,,,,
ACTUAL_FINISH_DATE,Actual Finish: Execution (Date),,,,
ACTUAL_FINISH_DATE,Date in BAPI Import Interface (YYYYMMDD),,,,
ACTUAL_FINISH_TIME,Actual Finish: Execution (Time),,,,
ACTUAL_MOVEDATE,Actual goods movement date,,,,
ACTUAL_OVERTIME_COST,The actual overtime cost of the task.,,,,
ACTUAL_OVERTIME_WORK,The actual amount of overtime work done on the assignment,,,,
ACTUAL_OVERTIME_WORK,The actual amount of overtime work incurred on assignment,,,,
ACTUAL_OVERTIME_WORK,The actual overtime work for the task.,,,,
ACTUAL_OVERTIME_WORK,The amount of actual overtime work performed by the resource,,,,
ACTUAL_OVERTIME_WORK_PROTECTED,The duration through which actual overtime work is protected,,,,
ACTUAL_START,Actual Start Date,,,,
ACTUAL_START_DATE,Actual Start: Execution (Date),,,,
ACTUAL_START_DATE,Date in BAPI Import Interface (YYYYMMDD),,,,
ACTUAL_START_TIME,Actual Start: Execution/Setup (Time),,,,
ACTUAL_TEXT,Save Current Comment To,,,,
ACTUAL_TIME,Actual Date/Time (Milestone Met),,,,
ACTUAL_VERSION_ICON,Icon for Active Version,,,,
ACTUAL_WORK,Confirmation,,,,
ACTUAL_WORK_PROTECTED,Specifies duration through which actual work is protected,,,,
ACTUAL_WORK_PROTECTED,The duration through which actual work is protected,,,,
ACTUAL_WORK_UNIT,Confirmation Unit,,,,
ACTUAL_WORK_UNIT_TEXT,Unit of Measurement Text with Maximum of 10 Characters,,,,
ACTUAL_WORK_UOM,Unit for work,,,,
ACTV,Activity,,,,
ACTVITYTXT,Text for activity category,,,,
ACTWH,(SMW) Actual working hours,,,,
ACTWK,Actual Work,,,,
ACTWORKEFFORT_BW,Confirmation,,,,
ACTYP,Accident type,,,,
ACTYPE,Type of Change,,,,
ACTY_PROCESSING,Activity Processing Data,,,,
ACT_AT_CUS,Our account number at customer,,,,
ACT_BUT,Rate Activation Button,,,,
ACT_BUTTON,Activity button,,,,
ACT_CANCEL,Cancelation of an Action,,,,
ACT_CATEGORY,Activity Category,,,,
ACT_COUNT,Number of activities,,,,
ACT_DATE,Date of Filling,,,,
ACT_DATE_DAY,Day of a document,,,,
ACT_DATE_FROM,"Current Date at Runtime for Today""",1,,,
ACT_DATE_MONTH,Month of a document,,,,
